,BP_date,address,apn,best_date,best_stat,comp_date,con_date,dbi_permit,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,units,unitsnet,x,y
15756,,972 RUTLAND ST,6304014,2015-03-02,BP FILED,,,201503029757.0,2015-03-02,2015-03-02,2015-03-02,2015-03-02,BP FILED,"('2015-03-02', '2015-03-02', '2015-03-02', '2015-03-02', '2015-03-02')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,2.0,1.0,37.7103661215,-122.408721
8574,,350 LINDEN ST,0817069,2014-01-17,CONSTRUCTION,10/01/2014,2013-07-12,200710185839,2007-10-18,2013-07-12,2007-10-18,2014-01-17,CONSTRUCTION,"('2013-07-12', '2013-07-12', '2014-01-17', '2014-01-17', '2014-01-17')",2540.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2014,Under Construction,6.0,6.0,37.776427000000005,-122.423498
14750,,1441 - 1443 OCEAN AV,6941059,2015-12-23,PL APPROVED,,,,2015-10-29,2015-12-23,2015-10-29,2015-12-23,PL APPROVED,"('2015-12-23',)",,"('PL APPROVED',)",1,2016,Proposed,0.0,0.0,37.7239991836,-122.45794
5396,,1844 MARKET ST,0871016,2013-08-26,CONSTRUCTION,10/01/2013,2007-07-17,200607146588,2005-06-01 07:00:00,2007-07-17,2005-06-01,2013-08-26,CONSTRUCTION,"('2007-07-17', '2007-07-17', '2007-07-17', '2013-08-26')",3043.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2013,Under Construction,113.0,113.0,37.771460999999995,-122.42468829999999
7405,2013-06-18,2401 16TH ST,3965001,2014-06-30,CONSTRUCTION,07/01/2014,2013-12-10,201208248160,2008-10-09 07:00:00,2011-04-21,2008-10-09,2014-06-30,CONSTRUCTION,"('2011-04-21', '2011-04-21', '2012-08-24', '2012-08-24', '2012-08-24', '2013-06-18', '2013-07-17', '2013-12-10', '2014-02-05', '2014-06-30')",2090.0,"('PL APPROVED', 'PL APPROVED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2014,Under Construction,12.0,12.0,37.765522999999995,-122.410614
15435,2016-03-24,466 VICTORIA ST,7008038,2016-03-24,BP APPROVED,,,201503039823.0,2015-03-03,2015-03-03,2015-03-03,2016-03-24,BP APPROVED,"('2015-03-03', '2015-03-03', '2015-03-03', '2015-03-03', '2016-03-24')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED')",1,2016,Building Permit Approved,2.0,1.0,37.7191200594,-122.465079
1525,,399 GOLDEN GATE AV,0347016,2007-11-27,PL APPROVED,,,,2006-12-28 08:00:00,2007-11-27,2006-12-28,2007-11-27,PL APPROVED,"('2007-11-27', '2007-11-27', '2007-11-27')",,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED')",3,2012,Proposed,0.0,0.0,-122.416948,37.78135
13704,2012-09-24,551 22ND AV,1565006A,2016-01-11,CONSTRUCTION,01/01/2016,2014-05-22,201012025978.0,2010-12-02,2010-12-02,2010-12-02,2016-01-11,CONSTRUCTION,"('2010-12-02', '2010-12-02', '2012-09-24', '2012-09-24', '2013-03-01', '2013-03-01', '2013-03-01', '2013-03-01', '2013-03-01', '2014-05-22', '2014-09-16', '2014-10-03', '2014-10-03', '2014-10-03', '2014-10-03', '2016-01-11')",1856.0,"('BP FILED', 'BP FILED', 'BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,2.0,2.0,37.7773278535,-122.481639629
10313,,3904 24TH ST,3654040,2014-05-30,PL FILED,,,,2014-05-30,2014-05-30,2014-05-30,2014-05-30,PL FILED,"('2014-05-30', '2014-05-30', '2014-05-30', '2014-05-30')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",1,2015,Proposed,4.0,1.0,37.7517507265,-122.42990482299999
12281,,2140 - 2144 MARKET STREET,3542008,2015-06-23,PL FILED,,,,2014-11-24,2015-06-23,2014-11-24,2015-06-23,PL FILED,"('2015-06-23', '2015-06-23')",,"('PL FILED', 'PL FILED')",3,2015,Proposed,27.0,27.0,37.7671449613,-122.42993484
