,BP_date,address,apn,best_date,best_stat,comp_date,con_date,dbi_permit,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,units,unitsnet,x,y,zoning,zoning_simplified
9355,,2936 HYDE ST,0007001,2006-08-15,PL APPROVED,,,,2001-06-20,2006-08-15,2001-06-20,2006-08-15,PL APPROVED,"('2006-08-15', '2006-08-15', '2006-08-15')",,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED')",2,2011,Proposed,0.0,,-122.42074099999999,37.808040999999996,C-2,C-2
2225,,350 MASONIC AV,000APN,,PL FILED,,,,2001-06-20,,,,PL FILED,"(nan,)",,"('PL FILED',)",2,2017,Proposed,,0.0,,,,
2242,,749 TOLAND ST & 2000 MCKINNON AV,000APN,,PL FILED,,,,2001-06-20,,,,PL FILED,"(nan,)",,"('PL FILED',)",2,2017,Proposed,,0.0,,,,
12109,,TOURIST/RESIDENTIAL HOTEL CONVERSION PROJECT,000APN,2015-10-26,PL FILED,,,,2015-10-26,2015-10-26,2015-10-26,2015-10-26,PL FILED,"('2015-10-26',)",,"('PL FILED',)",4,2015,Proposed,0.0,0.0,,,,
29995,2004-11-18,2800 LEAVENWORTH ST,0011007,2004-11-18,BP APPROVED,,,,2004-04-14,2004-11-18,2004-04-14,2004-11-18,BP APPROVED,"('2004-11-18',)",,"('BP APPROVED',)",3,2009,Building Permit Approved,0.0,,-122.41878200000001,37.807028,C-2,C-2
2142,2017-09-15,2718 HYDE ST,0024011C,2017-09-15,BP ISSUED,,,201701247732,2017-01-24,2017-01-24,,2017-09-15,BP ISSUED,"('2017-01-24', '2017-09-15')",,"('BP FILED', 'BP ISSUED')",2,2017,Building Permit Approved,0.0,0.0,,,,
1999,,1327 COLUMBUS AV,0024020,2016-05-17,BP FILED,,,201605177611,2016-05-17,2016-05-17,2016-05-17,2016-05-17,BP FILED,"('2016-05-17', '2016-05-17', '2016-05-17', '2016-05-17', '2016-05-17')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,1.0,1.0,,,,
11588,2012-12-10,721 BEACH ST,0025017,2015-12-18,CONSTRUCTION,01/01/2016,2014-05-30,201011295645,2006-11-07,2010-11-29,2006-11-07,2015-12-18,CONSTRUCTION,"('2010-11-29', '2010-11-29', '2010-11-29', '2010-11-29', '2010-11-29', '2010-11-29', '2010-11-29', '2010-11-29', '2012-12-10', '2013-04-24', '2013-04-24', '2013-04-24', '2013-04-24', '2013-04-24', '2014-05-30', '2014-09-24', '2015-03-16', '2015-05-28', '2015-05-28', '2015-08-27', '2015-12-18')",3342.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,1.0,1.0,-122.420950211,37.8063175991,C-2,C-2
1281,2016-02-11,888 NORTH POINT ST,0025024,2016-02-11,BP ISSUED,,,201412163783,2014-12-16,2014-12-16,2014-12-16,2016-02-11,BP ISSUED,"('2014-12-16', '2014-12-16', '2014-12-16', '2014-12-16', '2014-12-16', '2016-02-11', '2016-02-11', '2016-02-11', '2016-02-11', '2016-02-11', '2016-02-11')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",2,2017,Building Permit Approved,5.0,5.0,,,,
20935,,2603 HYDE STREET,0026006,2010-08-04,CONSTRUCTION,01/01/2011,2009-08-14,200703095864,2007-03-09,2009-08-14,2007-03-09,2010-08-04,CONSTRUCTION,"('2009-08-14', '2009-12-08', '2010-04-12', '2010-05-13', '2010-08-04', '2010-08-04')",1394.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2010,Under Construction,3.0,3.0,-122.42025600000001,37.804860999999995,RH-3,RH-3
9357,2006-11-30,869 NORTH POINT ST,0026019B,2006-11-30,BP ISSUED,,,200501243842,2005-01-24,2006-11-30,2005-01-24,2006-11-30,BP ISSUED,"('2006-11-30', '2006-11-30', '2006-11-30', '2006-11-30', '2006-11-30', '2006-11-30', '2006-11-30', '2006-11-30')",,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",2,2011,Building Permit Approved,3.0,3.0,-122.421396,37.805454,RH-3,RH-3
22918,2012-09-06,827 NORTH POINT ST,0026030,2014-06-03,CONSTRUCTION,07/01/2016,2013-06-12,201111078462,2011-11-07,2011-11-07,2011-11-07,2014-06-03,CONSTRUCTION,"('2011-11-07', '2011-11-07', '2011-11-07', '2012-09-06', '2012-09-06', '2012-09-06', '2013-06-12', '2013-08-30', '2013-11-20', '2013-11-20', '2014-06-03', '2014-06-03', '2014-06-03', '2014-06-03', '2014-06-03', '2014-06-03', '2014-06-03', '2014-06-03', '2014-06-03')",1698.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2016,Under Construction,3.0,3.0,-122.420870283,37.805369032,RH-3,RH-3
1724,2017-03-22,2624 LEAVENWORTH ST,0028006E,2017-03-22,BP APPROVED,,,201508103759,2015-08-10,2015-08-10,2015-08-10,2017-03-22,BP APPROVED,"('2015-08-10', '2015-08-10', '2015-08-10', '2015-08-10', '2015-08-10', '2015-08-10', '2017-03-22', '2017-03-22')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP APPROVED')",2,2017,Building Permit Approved,3.0,1.0,,,,
1222,2014-04-22,1255 - 1275 COLUMBUS AV,0028014,2017-09-15,CONSTRUCTION,2017-09-15,2017-09-15,201306149565,2014-04-22,2014-04-22,,2017-09-15,CONSTRUCTION,"('2014-04-22', '2017-09-15')",1242.0,"('BP ISSUED', 'CONSTRUCTION')",2,2017,Under Construction,20.0,20.0,,,C-2,C-2
28775,2014-04-22,1255- 1275 COLUMBUS AV,0028014,2014-04-22,BP ISSUED,,,201306149565,2009-07-29,2009-07-29,2009-07-29,2014-04-22,BP ISSUED,"('2009-07-29', '2009-07-29', '2009-07-29', '2009-07-29', '2009-07-29', '2009-07-29', '2009-07-29', '2011-06-08', '2011-06-08', '2011-06-08', '2011-06-08', '2011-06-08', '2011-06-08', '2011-06-08', '2011-06-08', '2013-06-14', '2013-06-14', '2013-06-14', '2013-06-14', '2014-04-22', '2014-04-22', '2014-04-22', '2014-04-22', '2014-04-22', '2014-04-22', '2014-04-22', '2014-04-22', '2014-04-22', '2014-04-22', '2014-04-22')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",4,2016,Building Permit Approved,20.0,20.0,-122.41837966700001,37.8057080595,C-2,C-2
2469,2016-12-30,400 BAY ST,0030003,2016-12-30,BP ISSUED,,,201602129550,2015-09-18,2015-09-18,2016-02-12,2016-12-30,BP ISSUED,"('2015-09-18', '2015-09-18', '2015-09-18', '2016-12-30', '2016-12-30', '2016-12-30')",,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",2,2017,Building Permit Approved,0.0,0.0,,,,
1036,2017-07-10,2293 POWELL ST,0041001,2017-07-10,BP APPROVED,,,201508103804,2013-03-20,2014-06-16,2013-03-20,2017-07-10,BP APPROVED,"('2014-06-16', '2014-06-16', '2014-06-16', '2014-06-16', '2014-06-16', '2014-06-16', '2014-06-16', '2015-11-20', '2015-11-20', '2015-11-20', '2015-11-20', '2015-11-20', '2017-07-10')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'BP APPROVED')",2,2017,Building Permit Approved,17.0,17.0,,,C-2,C-2
27957,,7 VANDEWATER ST,0041009,2005-07-05,BP FILED,,,200507056817,2004-08-06,2005-07-05,2004-08-06,2005-07-05,BP FILED,"('2005-07-05', '2005-07-05', '2005-07-05', '2005-07-05')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2010,Proposed,11.0,11.0,-122.41208200000001,37.805206,NCD,NCD
29978,2004-10-28,7 VANDEWATER ST,0041019,2004-10-28,BP APPROVED,,,,2002-09-18,2004-10-28,2002-09-18,2004-10-28,BP APPROVED,"('2004-10-28',)",,"('BP APPROVED',)",3,2009,Building Permit Approved,12.0,12.0,-122.41208200000001,37.805206,NCD,NCD
6493,2016-12-07,2300 MASON ST,0041037,2017-02-02,CONSTRUCTION,,2017-02-02,201611213235,2016-04-29,2016-05-24,2016-04-29,2017-02-02,CONSTRUCTION,"('2016-05-24', '2016-05-24', '2016-12-07', '2017-02-02')",,"('PL FILED', 'PL FILED', 'BP ISSUED', 'CONSTRUCTION')",1,2017,Under Construction,1.0,1.0,-122.41330517700001,37.8048789215,NCD,NCD
