,BP_date,address,apn,best_date,best_stat,con_date,dbi_permit,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,unitsnet,x,y
14917,,1700 CALIFORNIA ST,0642036,2016-01-08,PL FILED,,,2016-01-08,2016-01-08,2016-01-08,2016-01-08,PL FILED,"('2016-01-08',)",0.0,"('PL FILED',)",1,2016,Proposed,5.0,37.7904954065,-122.423027
10056,,2500 CLEMENT ST,1407017,2013-03-05,BP FILED,,,2013-02-26,2013-03-05,2013-02-26,2013-03-05,BP FILED,"('2013-03-05', '2013-03-05', '2013-03-05', '2013-03-05', '2013-03-05', '2013-03-05', '2013-03-05', '2013-03-05', '2013-03-05')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2015,Proposed,4.0,37.7822334894,-122.486153719
10080,,2815 POLK ST,478003,2014-07-09,BP FILED,,,,2014-07-09,,2014-07-09,BP FILED,"('2014-07-09',)",0.0,"('BP FILED',)",1,2015,Proposed,3.0,37.8027501344,-122.42341011399999
15582,,6423 CALIFORNIA ST,1407046,2014-04-30,BP FILED,,,2014-04-30,2014-04-30,2014-04-30,2014-04-30,BP FILED,"('2014-04-30', '2014-04-30', '2014-04-30', '2014-04-30', '2014-04-30', '2014-04-30', '2014-04-30', '2014-04-30')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.783567594000004,-122.48651100000001
5388,,735 FELL ST,0828012,2008-02-02,PL APPROVED,,,2007-07-03 07:00:00,2008-02-02,2007-07-03,2008-02-02,PL APPROVED,"('2008-02-02', '2008-02-02', '2008-02-02', '2008-02-02', '2008-02-02', '2008-02-02')",0.0,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",3,2013,Proposed,0.0,37.7747,-122.430153
13309,2014-04-07,101 POLK ST,0811002,2015-12-03,CONSTRUCTION,2015-03-31,,2012-04-13,2012-04-13,2012-04-13,2015-12-03,CONSTRUCTION,"('2012-04-13', '2012-04-13', '2012-04-13', '2012-04-13', '2013-08-13', '2013-08-13', '2013-08-13', '2014-04-07', '2015-03-31', '2015-07-31', '2015-10-29', '2015-12-03')",1329.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,162.0,37.7777407344,-122.418318405
15606,,667 FOLSOM ST 120 HAWTHORNE ST 126 HAWTHORNE ST,3750082,2015-10-06,PL FILED,,,2015-03-04,2015-10-06,2015-03-04,2015-10-06,PL FILED,"('2015-10-06', '2015-10-06', '2015-10-06')",0.0,"('PL FILED', 'PL FILED', 'PL FILED')",1,2016,Proposed,250.0,37.7842209801,-122.397631
11461,,526 HICKORY ST,0829040,2015-01-21,CONSTRUCTION,2015-01-21,,,2015-01-21,,2015-01-21,CONSTRUCTION,"('2015-01-21',)",0.0,"('CONSTRUCTION',)",2,2015,Under Construction,1.0,37.7748448146,-122.428662585
15340,,3701 JUDAH ST,1811001,2015-04-09,BP FILED,,,2015-04-09,2015-04-09,2015-04-09,2015-04-09,BP FILED,"('2015-04-09', '2015-04-09', '2015-04-09', '2015-04-09')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.7604583697,-122.501893
8549,,2419 2421 &AMP; 2435 LOMBARD ST,0937028,2012-04-13,BP FILED,,201204138282,2012-04-13,2012-04-13,2012-04-13,2012-04-13,BP FILED,"('2012-04-13', '2012-04-13', '2012-04-13', '2012-04-13', '2012-04-13', '2012-04-13', '2012-04-13')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",3,2014,Proposed,8.0,37.798860999999995,-122.441503
