apn,neighborhood,time_to_construction,units
0025017,Russian Hill,1845.0,1.0
0026030,Russian Hill,939.0,3.0
0069011,Russian Hill,1310.0,2.0
0074001,North Beach,676.0,0.0
0123002,Russian Hill,873.0,7.0
0130020,Chinatown,716.0,3.0
0133012,North Beach,289.0,3.0
0141008,Financial District,1127.0,2.0
0165021,Financial District,1222.0,75.0
0185020,Russian Hill,95.0,3.0
0221020,Nob Hill,432.0,3.0
0226007,Chinatown,0.0,2.0
0258033,Financial District,5478.0,0.0
0269028,Financial District,3159.0,0.0
0279011,Nob Hill,1692.0,35.0
0281003,Nob Hill,2706.0,27.0
0297009,Nob Hill,450.0,17.0
0300012,Nob Hill,809.0,3.0
0300015,Nob Hill,478.0,3.0
0306020,Tenderloin,220.0,81.0
0323015,Tenderloin,84.0,151.0
0330004,Tenderloin,470.0,155.0
0339006,Tenderloin,994.0,9.0
0345004,Tenderloin,1394.0,174.0
0349001,Tenderloin,950.0,90.0
0473008,Marina,702.0,3.0
0473015A,Marina,458.0,3.0
0482014,Marina,273.0,3.0
0500015,Russian Hill,448.0,4.0
0501023,Russian Hill,432.0,2.0
0503015,Marina,0.0,2.0
0510029,Marina,476.0,3.0
0512026,Marina,792.0,21.0
0516028A,Marina,335.0,4.0
0519029,Marina,341.0,2.0
0527002,Marina,1199.0,27.0
0531022,Marina,208.0,1.0
0557019,Marina,396.0,1.0
0570011,Pacific Heights,1477.0,34.0
0595013,Russian Hill,892.0,38.0
0596024,Russian Hill,390.0,39.0
0604015,Pacific Heights,758.0,1.0
0619012,Russian Hill,2681.0,35.0
0620006,Russian Hill,993.0,28.0
0629037,Pacific Heights,861.0,77.0
0647007,Western Addition,2701.0,260.0
0660007,Pacific Heights,0.0,2.0
0660027,Pacific Heights,0.0,3.0
0668012,Nob Hill,208.0,35.0
0671006,Western Addition,2456.0,69.0
0686040,Japantown,546.0,4.0
0691008,Nob Hill,392.0,107.0
0694005,Tenderloin,1863.0,0.0
0753010,Western Addition,393.0,3.0
0754012,Western Addition,928.0,4.0
0757025,Western Addition,2654.0,297.0
0757027,Western Addition,639.0,98.0
0766001,Tenderloin,0.0,0.0
0768013,Western Addition,1800.0,100.0
0776035,Western Addition,826.0,3.0
0785029,Hayes Valley,1241.0,75.0
0793009,Hayes Valley,172.0,2.0
0794015,Hayes Valley,0.0,136.0
0794028,Hayes Valley,1062.0,139.0
0797019,Hayes Valley,,1.0
0807010,Hayes Valley,1833.0,90.0
0807022,Hayes Valley,393.0,1.0
0808036,Hayes Valley,596.0,63.0
0808039,Hayes Valley,1352.0,41.0
0811002,Tenderloin,1329.0,163.0
0814020,Tenderloin,1095.0,418.0
0816003,Hayes Valley,114.0,0.0
0817069,Hayes Valley,189.0,6.0
0818020,Hayes Valley,2200.0,2.0
0818048,Hayes Valley,2274.0,2.0
0818049,Hayes Valley,736.0,2.0
0819011,Hayes Valley,770.0,3.0
0829023,Hayes Valley,853.0,1.0
0831023,Mission,1246.0,182.0
0837003,Hayes Valley,2307.0,35.0
0839025,Hayes Valley,722.0,16.0
0843016,Hayes Valley,934.0,12.0
0854001,Hayes Valley,650.0,24.0
0855011,Hayes Valley,2181.0,49.0
0857001,Hayes Valley,2983.0,450.0
0857001A,Hayes Valley,925.0,191.0
0859013,Hayes Valley,197.0,2.0
0861034,Haight Ashbury,256.0,3.0
0870003,Hayes Valley,1300.0,116.0
0871016,Hayes Valley,2232.0,113.0
0872005,Hayes Valley,639.0,115.0
0913011,Marina,249.0,3.0
0919007D,Marina,439.0,3.0
0926008,Marina,869.0,2.0
0936020,Marina,349.0,5.0
0943003B,Marina,0.0,1.0
0973031,Presidio Heights,593.0,1.0
0997004,Presidio Heights,217.0,1.0
1028028,Pacific Heights,109.0,12.0
1051034,Pacific Heights,600.0,0.0
1052024,Pacific Heights,2712.0,84.0
1066028,Presidio Heights,0.0,8.0
1067028,Presidio Heights,463.0,2.0
1068004,Presidio Heights,523.0,1.0
1073008,Presidio Heights,0.0,1.0
1073013,Presidio Heights,1789.0,83.0
1086006,Lone Mountain/USF,970.0,3.0
1088022,Lone Mountain/USF,577.0,2.0
1101007,Western Addition,915.0,32.0
1127007,Western Addition,0.0,19.0
1127064,Western Addition,199.0,19.0
1145003,Lone Mountain/USF,1326.0,0.0
1150007,Lone Mountain/USF,600.0,3.0
1152017,Western Addition,2230.0,3.0
1152018,Western Addition,1224.0,3.0
1153020,Western Addition,893.0,7.0
1154023,Western Addition,0.0,2.0
1158037,Lone Mountain/USF,353.0,2.0
1179024A,Western Addition,780.0,4.0
1182012,Hayes Valley,217.0,3.0
1185026,Lone Mountain/USF,630.0,3.0
1198028,Lone Mountain/USF,0.0,2.0
1219011,Haight Ashbury,0.0,4.0
1222043,Haight Ashbury,623.0,1.0
1223003,Haight Ashbury,184.0,1.0
1227003,Haight Ashbury,672.0,2.0
1252046,Haight Ashbury,132.0,2.0
1260035,Haight Ashbury,497.0,2.0
1265009,Inner Sunset,0.0,3.0
1269167,Haight Ashbury,966.0,1.0
1270053,Haight Ashbury,1320.0,2.0
1279083,Haight Ashbury,202.0,2.0
1288005,Haight Ashbury,48.0,2.0
130020,Chinatown,517.0,3.0
1332049,Seacliff,868.0,2.0
1334040,Seacliff,0.0,1.0
1364048,Inner Richmond,462.0,6.0
1371039,Inner Richmond,938.0,2.0
1386015,Outer Richmond,728.0,3.0
1405045,Outer Richmond,408.0,2.0
1411022,Outer Richmond,0.0,2.0
1412019,Outer Richmond,766.0,3.0
1417031,Outer Richmond,231.0,3.0
1453033,Outer Richmond,966.0,1.0
1463005,Outer Richmond,851.0,2.0
1464013B,Outer Richmond,367.0,2.0
1464014,Outer Richmond,1436.0,2.0
1505027,Outer Richmond,1638.0,2.0
1507038,Outer Richmond,824.0,2.0
1510022,Outer Richmond,668.0,2.0
1510025,Outer Richmond,371.0,2.0
1511034,Outer Richmond,657.0,2.0
1517030,Outer Richmond,2121.0,3.0
1550029,Inner Richmond,42.0,3.0
1564023,Outer Richmond,423.0,2.0
1565006A,Outer Richmond,1866.0,2.0
1568012,Outer Richmond,429.0,2.0
1569002,Outer Richmond,385.0,2.0
1570003C,Outer Richmond,586.0,2.0
1601001,Outer Richmond,0.0,2.0
1615003,Outer Richmond,670.0,2.0
1622025,Outer Richmond,689.0,2.0
1640051,Inner Richmond,1165.0,6.0
1641026,Inner Richmond,361.0,2.0
1642036,Inner Richmond,2933.0,2.0
1659030,Outer Richmond,763.0,2.0
1684002I,Outer Richmond,0.0,2.0
1686016,Outer Richmond,264.0,2.0
1686033,Outer Richmond,0.0,1.0
1707047,Sunset/Parkside,0.0,1.0
1710006,Sunset/Parkside,468.0,1.0
1729012,Sunset/Parkside,1024.0,2.0
1731014,Sunset/Parkside,524.0,2.0
1736033,Inner Sunset,1227.0,2.0
1742043,Inner Sunset,1071.0,15.0
1775044,Sunset/Parkside,452.0,2.0
1789022,Sunset/Parkside,291.0,2.0
1800010A,Sunset/Parkside,0.0,2.0
1805006,Sunset/Parkside,880.0,2.0
1811031,Sunset/Parkside,174.0,2.0
1854016A,Inner Sunset,269.0,2.0
1857036,Inner Sunset,672.0,2.0
1857037,Inner Sunset,676.0,2.0
1893038,Sunset/Parkside,589.0,1.0
1901012,Sunset/Parkside,462.0,2.0
1932022,Inner Sunset,358.0,2.0
1933041,Inner Sunset,719.0,2.0
2038A018,Inner Sunset,948.0,1.0
2038A019,Inner Sunset,923.0,1.0
2040001,Inner Sunset,312.0,6.0
2094005,Sunset/Parkside,0.0,0.0
2117001,Inner Sunset,414.0,2.0
2162031,Sunset/Parkside,402.0,2.0
2184034,Sunset/Parkside,299.0,2.0
2205035,West of Twin Peaks,593.0,1.0
226007,Chinatown,0.0,2.0
2317016G,Sunset/Parkside,222.0,2.0
2362019,Sunset/Parkside,671.0,3.0
2381027A,Sunset/Parkside,329.0,2.0
2393042,Sunset/Parkside,349.0,2.0
2406037,Sunset/Parkside,579.0,1.0
2416002H,West of Twin Peaks,287.0,1.0
2451002D,Sunset/Parkside,329.0,2.0
2476034,Sunset/Parkside,275.0,2.0
25017,Russian Hill,363.0,1.0
2515001,Sunset/Parkside,2693.0,56.0
258033,Financial District,395.0,0.0
26030,Russian Hill,0.0,3.0
2620119,Castro/Upper Market,1089.0,2.0
2625007A,Castro/Upper Market,1120.0,2.0
2628026,Castro/Upper Market,1601.0,2.0
2657004,Castro/Upper Market,726.0,1.0
2688072,Inner Sunset,1502.0,2.0
269028,Financial District,500.0,0.0
2691019,Castro/Upper Market,618.0,3.0
2700012,Castro/Upper Market,1369.0,2.0
2706035,Twin Peaks,576.0,1.0
2716033,Twin Peaks,610.0,1.0
2716056,Castro/Upper Market,0.0,2.0
2750035,Castro/Upper Market,310.0,2.0
2778013,Twin Peaks,1094.0,2.0
2799013,Twin Peaks,0.0,3.0
