Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,Units,Units Net,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,newtaz,Total GSF (Commercial),MIPS,CIE,MED,PDR,RET,VISIT,Net GSF (Commercial),CIENET,MEDNET,MIPSNET,PDRNET,RETNET,VISITNET,CASENO,BPAPPLNO,Planning Filed,DBI Filed,HEIGHTLIMIT,ZONING,FirstFiled,Longitude,Latitude,AFFORDABLE,AFFORDABLENET
2041031,1740 09TH AV,Inner Sunset,BP ISSUED,1/22/09,2,2,"Demolition of existing building and construction of a new four story building with a preschool, small community meeting room and eight senior housing units with a two car garage;  variances for reduction of parking,  rear yard encroachment/height within e",TO ERECT 4 STORY 2 FAMILY DWELLING,Residential,RH-2,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.041,200706204574,1/21/99,6/20/07,40-X,RH-2,21-Jan-99,-122.465568,37.755781,,
4172053,1179 TENNESSEE ST,Central Waterfront,BP REINSTATED,11/7/08,8,8,,ERECT A FOUR STORY EIGHT UNIT RESIDENTIAL BLDG WITH COML,Mixed Use,NCT-2,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001.0451,9902819,,2/11/99,50-X,NCT-2,11-Feb-99,-122.388969,37.756751,,
7134038,211 HEAD ST,"Ingleside, Other",BP ISSUED,2/10/04,1,1,,ERECT 2 STORY SINGLE FAMILY DWELLING,Residential,RH-1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9902954S,,2/16/99,40-X,RH-1,16-Feb-99,-122.464464,37.711234,,
348015,277 GOLDEN GATE AV,Downtown,BP ISSUED,12/22/08,88,88,"remodel existing 5-story building containing a TV studio into a 6-story apartment building, for a total of 92 dwelling units with 23 parking spaces.","REVISION TO APPL#9825929-S & 200610195538, CHANGE UNIT COUNT FROM 92 TO 88. REVISE PREVIOUSLY APPROV",Commercial,C-3-G,286,0,0,0,0,0,0,0,"-49,945",0,0,"-49,945",0,0,0,1998.42,200710185824,2/17/99,10/18/07,80-X,C-3-G,17-Feb-99,-122.415039,37.781577,,0
3739006,272 MAIN ST,TB Combo,BP ISSUED,12/15/08,0,0,"Demolish existing 10,000sf office building and construct new 40,000 sf office building with ground floor retail.  Building would be about 80 feet tall with no parking.",DEMOLITION OF TWO STORIES OFFICE BUILDING.,Hi Density Res,TB DTR,764,"36,100","30,000",0,0,0,"6,100",0,"36,100",0,0,"30,000",0,"6,100",0,1999.3,200811136470,8/9/00,11/13/08,80-X,TB DTR,9-Aug-00,-122.392466,37.78969,,
3530006,1750 FOLSOM ST,Mission,BP APPROVED,7/11/07,0,0,"Demolish an existing 23-foot-tall light industrial building and construct a new, 40-foot-tall, 3-story, 16,000 square foot building for catering and restaurant use. 20 off-street parking spaces would be provided.",ERECT A THREE STORY  COML BLDG-CATERING/RESTAURANT,Industrial,PDR-1-G,590,"16,000",0,0,0,0,"16,000",0,"8,000",0,0,0,"-8,000","16,000",0,2000.1328,200101049224,6/12/01,1/4/01,40-X,PDR-1-G,4-Jan-01,-122.415828,37.769092,,
1434002,309 02ND AV,Richmond,BP ISSUED,3/17/05,1,1,,TO DEMOLISH A 2-STORY 2 DWELLING UNIT BLDNG,Mixed Use,NCD,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200101089361,,1/8/01,40-X,RM-1,8-Jan-01,-122.460297,37.782813,,
45005,850 FRANCISCO ST,Northeast,BP ISSUED,7/12/06,1,1,Rev. to approve site permit# 2001.01.26.0712 SR-5: Erect a four-story single-family dwelling.,ERECT A FOUR STORY SINGLE FAMILY DWELLING.,Residential,RH-1(D),848,0,,,,,,,0,,,,,,,2007.0703,200101260712,7/6/07,1/26/01,40-X,RH-1(D),26-Jan-01,-122.419303,37.80415,,
5419005,1636 ARMSTRONG AV,"BVHP Area A,B",BP ISSUED,8/28/07,0,-1,V FOR OFF-STREET PARKING: NO PARKING PROPOSED FOR THE CONSTRUCTION OF NEW CHURCH,ERECT A 2 STORY CHURCH CENTER.,Industrial,PDR-1-B,897,"7,500",0,"7,500",0,0,0,0,"7,500","7,500",0,0,0,0,0,2001.1089,200302288512,11/15/01,2/28/03,40-X,M-1,15-Nov-01,-122.392636,37.726618,,
3973002C,480 POTRERO AV,Mission,BP ISSUED,8/17/04,0,,"The project is to convert an existing 40ksf industrial building to a 55-unit residential care facility and perform interior and exterior alterations. DR req'd by Mission District Interim Controls for any change of use. 
MDIC",TO ERECT 5 STORIES OF 55 DWELLING UNITS (RESID'L CARE FACILITY),Mixed Use,UMU,209,"63,800",0,"63,800",0,0,0,0,"23,800","63,800",0,0,"-40,000",0,0,2002.0151,200309154738,3/22/02,9/15/03,65-B,UMU,22-Mar-02,-122.407532,37.763525,,
