Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,Units,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,TAZ,Total GSF (Commercial),Office,"Cult, Inst, Educ",Medical,"Prod, Dist, Rep","Ret, Ent",Visitor,Planning ID,DBI Permit,Planning Filed,DBI Filed,HEIGHTLIMIT,ZONING,FirstFiled,Longitude,Latitude,ObjectID,TempSelect,LANDUSE,EntitlementStatus,sort,ACTION_SEQ,Net Added Units,Net Added SF
3721013,524 HOWARD ST,TB Combo,BP REINSTATED,6/8/07,0,"new construction of a 23 story office bldg.; previously approved in 1989, case no. 84.199B, Mo. 11683
",TO ERECT 23 STORIES OF OFFICE BLDG,Commercial,C-3-O(SD),741,"200,000","200,000",0,0,0,0,0,1998.843,2.00612E+11,10/7/98,3/8/00,450-S,C-3-O(SD),7-Oct-98,-122.396826,37.78812,1779,2,MIPS,-1,BP Approved/Issued/Re-Instated,8,0,"200,000"
4172053,1179 TENNESSEE ST,Central Waterfront,BP REINSTATED,11/3/09,8,,ERECT A FOUR STORY EIGHT UNIT RESIDENTIAL BLDG WITH COML,Mixed Use,NCT-2,521,0,0,0,0,0,0,0,2001.0451,9902819,,2/11/99,40-X,NCT-2,11-Feb-99,-122.388969,37.756751,1830,,Resident,-1,BP Approved/Issued/Re-Instated,8,8,0
348015,277 GOLDEN GATE AV,Downtown,BP ISSUED,12/22/08,88,"remodel existing 5-story building containing a TV studio into a 6-story apartment building, for a total of 92 dwelling units with 23 parking spaces.","REVISION TO APPL#9825929-S & 200610195538, CHANGE UNIT COUNT FROM 92 TO 88. REVISE PREVIOUSLY APPROV",Commercial,C-3-G,286,0,0,0,0,0,0,0,1998.42,2.0071E+11,2/17/99,10/18/07,80-X,C-3-G,17-Feb-99,-122.415039,37.781577,292,,Resident,-1,BP Approved/Issued/Re-Instated,11,88,"-49,945"
5549041,3407 FOLSOM ST,Bernal Heights,BP APPROVED,4/2/10,2,,ERECT A THREE STORY TWO UNIT RESIDENTIAL BLDG,Residential,RH-2,453,0,0,0,0,0,0,0,,9906780S,,4/9/99,40-X,RH-2,9-Apr-99,-122.413095,37.743989,2286,,Resident,-1,BP Approved/Issued/Re-Instated,9,2,0
3739006,272 MAIN ST,TB Combo,BP ISSUED,12/15/08,0,"Demolish existing 10,000sf office building and construct new 40,000 sf office building with ground floor retail.  Building would be about 80 feet tall with no parking.",DEMOLITION OF TWO STORIES OFFICE BUILDING.,High Density Residential,TB DTR,764,"36,100","30,000",0,0,0,"6,100",0,1999.3,2.00811E+11,8/9/00,11/13/08,80-X,TB DTR,9-Aug-00,-122.392466,37.78969,1911,2,MIPS,-1,BP Approved/Issued/Re-Instated,11,0,"36,100"
3530006,1750 FOLSOM ST,Mission,BP APPROVED,7/11/07,0,"Demolish an existing 23-foot-tall light industrial building and construct a new, 40-foot-tall, 3-story, 16,000 square foot building for catering and restaurant use. 20 off-street parking spaces would be provided.",ERECT A THREE STORY  COML BLDG-CATERING/RESTAURANT,Industrial,PDR-1-G,590,"16,000",0,0,0,0,"16,000",0,2000.1328,2.00101E+11,6/12/01,1/4/01,58-X,PDR-1-G,4-Jan-01,-122.415828,37.769092,1486,,Retail/Ent,-1,BP Approved/Issued/Re-Instated,9,0,"8,000"
45005,850 FRANCISCO ST,Northeast,BP ISSUED,7/12/06,1,Rev. to approve site permit# 2001.01.26.0712 SR-5: Erect a four-story single-family dwelling.,ERECT A FOUR STORY SINGLE FAMILY DWELLING.,Residential,RH-1(D),848,0,,,,,,,2007.0703,2.00101E+11,7/6/07,1/26/01,40-X,RH-1(D),26-Jan-01,-122.419303,37.80415,78,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0
492025,2026 LOMBARD ST,Marina,BP ISSUED,4/11/07,0,"The proposed project involves the demolition of an 8,630 gsf, two-story (over grade parking) 30-room motel and construction of a 49,001gsf, 4-story hotel containing 97 rooms.",ERECT A NEW 4 STORY 89 UNIT TOURIST HOTEL W/ GARAGE,Mixed Use,NC-3,819,"40,370",0,0,0,0,0,"40,370",2002.0497,2.00606E+11,6/11/02,6/2/06,40-X,NC-3,11-Jun-02,-122.43494,37.800127,319,,Visitor,-1,BP Approved/Issued/Re-Instated,11,0,"40,370"
7060019,184 MAJESTIC AV,"Ingleside, Other",BP REINSTATED,1/25/08,1,The proposal is to construct a single-family dwelling on a vacant lot.,ERECT A THREE STORY SINGLE FAMILY DWELLLING,Residential,RH-1,26,0,0,0,0,0,0,0,2004.0361,2.00207E+11,,7/24/02,40-X,RH-1,24-Jul-02,-122.453004,37.715856,3005,,Resident,-1,BP Approved/Issued/Re-Instated,8,1,0
2719047,1399 CLAYTON ST,Central,BP ISSUED,2/21/06,2,"2 Lot Subdivision; Construction of two 4,000-square foot, single-family homes, each 3 stories over basement 2-car garage.",ERECT A THREE STORY SINGLE FAMILY DWELLING (HOUSE B),Residential,RH-2,177,0,0,0,0,0,0,0,2006.0791,2.00208E+11,8/8/06,8/5/02,40-X,RH-2,5-Aug-02,-122.446068,37.758672,1326,,Resident,-1,BP Approved/Issued/Re-Instated,11,2,0
