Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,Units,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,TAZ,Total GSF (Commercial),Office,"Cult, Inst, Educ",Medical,"Prod, Dist, Rep","Ret, Ent",Visitor,Planning ID,DBI Permit,Planning Filed,DBI Filed,Expr1022,Expr1023,FirstFiled,Longitude,Latitude,ObjectID,Expr1028,LANDUSE,EntitlementStatus,sort,ACTION_SEQ,Net Added Units,Net Added SF,"Net Cult, Inst, Educ",Net Medical,Net Office,"Net Prod, Dist, Rep","Net Ret, Ent",Net Visitor,TempSelect,SiteArea,BLOCK,LOT,PARKING,PARKINGNET,ZONING,HEIGHTLIMIT
3721013,524 Howard St,TB Combo,BP REINSTATED,6/8/07,0,"new construction of a 23 story office bldg.; previously approved in 1989, case no. 84.199B, Mo. 11683
",TO ERECT 23 STORIES OF OFFICE BLDG,Commercial,C-3-O(SD),741,"200,000","200,000",0,0,0,0,0,1998.843,2.00612E+11,10/7/98,3/8/00,450-S,C-3-O(SD),7-Oct-98,-122.396826,37.78812,1779,13,MIPS,-1,BP Approved/Issued/Re-Instated,8,0,"200,000",0,0,"200,000",0,0,0,13,12267,3721,13,100,100,C-3-O(SD),450-S
4172053,1179 Tennessee St,Central Waterfront,BP REINSTATED,11/3/09,8,,ERECT A FOUR STORY EIGHT UNIT RESIDENTIAL BLDG WITH COML,Mixed Use,NCT-2,521,0,0,0,0,0,0,0,2001.0451,9902819,4/26/01,2/11/99,40-X,NCT-2,11-Feb-99,-122.388969,37.756751,1830,,Resident,-1,BP Approved/Issued/Re-Instated,8,8,0,0,0,0,0,0,0,,6090,4172,53,,,NCT-2,40-X
348015,277 Golden Gate Av,Downtown,BP ISSUED,12/22/08,88,"remodel existing 5-story building containing a TV studio into a 6-story apartment building, for a total of 92 dwelling units with 23 parking spaces.","REVISION TO APPL#9825929-S & 200610195538, CHANGE UNIT COUNT FROM 92 TO 88. REVISE PREVIOUSLY APPROV",Commercial,C-3-G,286,0,0,0,0,0,0,0,1998.42,2.0071E+11,2/17/99,10/18/07,80-X,C-3-G,17-Feb-99,-122.415039,37.781577,292,,Resident,-1,BP Approved/Issued/Re-Instated,11,88,"-49,945",0,0,"-49,945",0,0,0,,11982,348,15,23,23,C-3-G,80-X
3530006,1750 Folsom St,Mission,BP APPROVED,7/11/07,0,"Demolish an existing 23-foot-tall light industrial building and construct a new, 40-foot-tall, 3-story, 16,000 square foot building for catering and restaurant use. 20 off-street parking spaces would be provided.",ERECT A THREE STORY  COML BLDG-CATERING/RESTAURANT,Industrial,PDR-1-G,590,"16,000",0,0,0,0,"16,000",0,2000.1328,2.00101E+11,3/8/01,1/4/01,58-X,PDR-1-G,4-Jan-01,-122.415828,37.769092,1486,,Retail/Ent,-1,BP Approved/Issued/Re-Instated,9,0,"8,000",0,0,0,"-8,000","16,000",0,,7089,3530,6,20,20,PDR-1-G,58-X
45005,850 Francisco St,Northeast,BP ISSUED,7/12/06,1,Rev. to approve site permit# 2001.01.26.0712 SR-5: Erect a four-story single-family dwelling.,ERECT A FOUR STORY SINGLE FAMILY DWELLING.,Residential,RH-1(D),848,0,,,,,,,2007.0703,2.00101E+11,7/6/07,1/26/01,40-X,RH-1(D),26-Jan-01,-122.419303,37.80415,78,23,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,23,6001,45,5,3,3,RH-1(D),40-X
492025,2026 Lombard St,Marina,BP ISSUED,4/11/07,0,"The proposed project involves the demolition of an 8,630 gsf, two-story (over grade parking) 30-room motel and construction of a 49,001gsf, 4-story hotel containing 97 rooms.",ERECT A NEW 4 STORY 89 UNIT TOURIST HOTEL W/ GARAGE,Mixed Use,NC-3,819,"40,370",0,0,0,0,0,"40,370",2002.0497,2.00606E+11,6/11/02,6/2/06,40-X,NC-3,11-Jun-02,-122.43494,37.800127,319,,Visitor,-1,BP Approved/Issued/Re-Instated,11,0,"40,370",0,0,0,0,0,"40,370",,13612,492,25,78,46,NC-3,40-X
7060019,184 Majestic Av,"Ingleside, Other",BP REINSTATED,1/25/08,1,The proposal is to construct a single-family dwelling on a vacant lot.,ERECT A THREE STORY SINGLE FAMILY DWELLLING,Residential,RH-1,26,0,0,0,0,0,0,0,2004.0361,2.00207E+11,3/24/04,7/24/02,40-X,RH-1,24-Jul-02,-122.453004,37.715856,3005,,Resident,-1,BP Approved/Issued/Re-Instated,8,1,0,0,0,0,0,0,0,,2495,7060,19,,,RH-1,40-X
2676030,580 Oak Park Dr,Inner Sunset,BP ISSUED,11/28/07,1,"Construct a new single-family dwelling on a vacant parcel in an RH-1(D) (Residential, House, One-Family, Detached) District and a 40-X Height and Bulk District.","ERECT 3 STORIES, 1 DWELLING UNIT WITH 1 BASEMENT BLDG.",Residential,RH-1(D),545,0,0,0,0,0,0,0,2003.0741,2.00212E+11,5/27/03,12/4/02,40-X,RH-1(D),4-Dec-02,-122.460196,37.756322,1292,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,0,0,0,0,0,0,,6418,2676,30,0,0,RH-1(D),40-X
3615026,2525 Mission St,Mission,BP ISSUED,8/26/09,0,"The project is to demolish the existing single-story retail building and construct a new building that would be three-stories tall and would contain retail on the ground floor and offices on the second and third floors.
6/15/05 - Environmental Exemption",ERECT A 3 STORY COMMERCIAL SHOP & OFFICE,Mixed Use,NCT,176,"4,999","4,999",0,0,0,0,0,2003.0159,2.00302E+11,8/7/03,2/21/03,65-B,Mission St NCT,21-Feb-03,-122.418695,37.756561,1663,,MIPS,-1,BP Approved/Issued/Re-Instated,11,0,"4,999",0,0,"4,999",0,0,0,,3675,3615,26,,,Mission St NCT,65-B
6942039,244 Granada Av,"Ingleside, Other",BP ISSUED,10/9/08,2,"Demolish a one-family dwelling and construct a new two-family dwelling in an RH-2 (Residential, House, Two-Family) District and a 40-X Height and Bulk District.",ERECT 3 STORY TWO UNIT DWELLING.,Residential,RH-2,53,0,0,0,0,0,0,0,2003.0374,2.00701E+11,3/25/03,1/5/07,40-X,RH-2,25-Mar-03,-122.45699,37.722873,2965,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,0,0,0,0,0,0,,2815,6942,39,,,RH-2,40-X
