Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,Units,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,TAZ,Total GSF (Commercial),Office,"Cult, Inst, Educ",Medical,"Prod, Dist, Rep","Ret, Ent",Visitor,Planning ID,DBI Permit,Planning Filed,DBI Filed,Expr1022,Expr1023,FirstFiled,Longitude,Latitude,ObjectID,LANDUSE,EntitlementStatus,sort,ACTION_SEQ,Net Added Units,Net Added SF,"Net Cult, Inst, Educ",Net Medical,Net Office,"Net Prod, Dist, Rep","Net Ret, Ent",Net Visitor,BLOCK,LOT,PARKING,PARKINGNET,ZONING,HEIGHTLIMIT,SUPDIST,Sponsor Firm,Sponsor Name,CONTACTPHONE,FULLNAME,CONTACTCITY,CONTACTADD
5431A043,5800 03rd St,"BVHP Area A,B",BP Filed,28-Sep-05,188,"09/08/2003 Shadow Stduy Prop. K
The proposed project involves the demolition of the existing 103,000 gsf Coca-Cola bottling facility and the construction of a Planned Unit Development including 4 four-to-five story residential buildings for 343 dwelling u","TO ERECT 6 STORIES, 105 DWELLING UNITS OF RESIDENTIAL / COMMERCIAL COMBO.",Industrial,M-1,906,0,0,0,0,0,0,0,2007.1126,2.00509E+11,29-Jan-04,28-Sep-05,65-J,M-1,29-Jan-04,-122.394483,37.72543,4371,Resident,-1,BP Filed,6,188,0,0,0,0,0,0,0,5431A,1,427,427,M-1,65-J,10,Reuben & Junius LLP,Jared Eigerman,415 567 9000,Jared Eigerman 415 567 9000,"San Francisco, CA  94104","1 Bush Street, Suite 600"
3707052,2 New Montgomery St,TB Combo,PL Filed,4-Dec-07,125,"Convert 25 hotel rooms to residential use and construct a new 17-stroy addition for 125 dwelling units. The new proposed project would include 261,072 sq. ft. of residential, 12,823 sq. ft. of retail, 87,000 sq. ft. of parking (189 parking spaces), and 55",,Commercial,C-3-O,742,0,0,0,0,0,0,0,2005.1101,,29-Nov-05,,120-X/300-S,C-3-O,29-Nov-05,-122.40191,37.788432,3270,Resident,0,Planning Filed,,125,0,0,0,0,0,0,0,3707,52,189,189,C-3-O,120-X/300-S,6,Reuben & Junius,James A. Reuben,415 567-9000,James A. Reuben 415 567-9000,"San Francisco, CA  94104","1 Bush Street, Suite 600"
3507042,1400 Mission St,Downtown,PL FILED,8-Apr-09,165,"THC/Citizens Housing (MOH) proposal for 165-du 100% affordable housing project, 15-story, w/ 18 parking spaces and 3,640-gsf retail at ground level.  Related to Addendum 2003.0262E EIR.",,Commercial,C-3-G,608,3640,0,0,0,0,3640,0,2008.0553,,8-Apr-09,24-Jun-09,150-S/200-S,C-3-G,8-Apr-09,-122.415971,37.775274,1,Mixres,0,Planning Filed,2,165,3640,0,0,0,0,3640,0,3507,42,18,-57,C-3-G,150-S/200-S,6,Citizens Housing Corporation,Jake Wegmann,694-5841,Jake Wegmann 694-5841,"San Francisco, CA 94108","26 O'Farrell St., Suite 600"
221020,34 Pleasant St,Northeast,BP Filed,7-May-09,3,Two-floor vertical addition of a residential unit and 2 parking spaces.,"ADDITION OF 2 NEW FLOORS, 2 ONSITE PARKING SPACES, CONVERSION OF RESIDENTIAL DUPLEX INTO RESIDENTIAL",Residential,RM-3,341,0,,,,,,,2009.0906,2.00905E+11,28-Sep-09,7-May-09,65-A,RM-3,7-May-09,-122.413365,37.793047,2,Resident,0,BP Filed,6,1,0,,,,,,,221,20,3,2,RM-3,65-A,3,Tecta Associates,Ahmad Mohazab,415-362-5857,Ahmad Mohazab 415-362-5857,"San Francisco, CA  94110",2747 - 19th Street
0331001A,231 Ellis St,Downtown,PL Filed,4-May-09,7,Interior structural improvements and addition of 4 residential units on top of existing office building.,,Mixed Use,RC-4,678,12460,12460,,,,,,2009.0343,,4-May-09,,80-130-T,RC-4,4-May-09,-122.410011,37.785117,3,Mixres,0,Planning Filed,2,4,0,,,0,,,,331,001A,,,RC-4,80-130-T,6,"229 Ellis Street, LLC",Bruce Jones,415-362-8900,Bruce Jones 415-362-8900,"San Francisco, CA 94102",229 Ellis Street
3731001,200-214 6th St,East SoMa,PL Filed,9-Feb-11,50,"The proposed project is the demolition of an existing 144 room hotel buidling and construction of a new mixed - use building with 56 affordable dwelling units, approximately 3,074 sq.ft. of retail, and 15 off-street parking spaces. ",,Industrial,RSD,,3074,,,,,3074,,2011.0119,,9-Feb-11,13-Oct-10,85-X,SoMa NCT,13-Oct-10,-122.4071,37.779381,4280,Mixres,0,Planning Filed,6,50,3074,,,,,3074,,3731,1,,,SoMa NCT,85-X,6,Mercy Housing California,Sharon Christen,415 355 7100,Sharon Christen 415 355 7100,"San Francisco, CA 94103","1360 Mission Street, Ste 300"
3722027,151 Third St,Downtown,PL Approved,13-Jul-10,0,"Expansion of SFMOMA to SE with 40,000-sf gallery wing at Natoma Street, acquisition and replacement of Heald College building on Howard Street with 62,000-sf new construction for back-of-house and admin functions, vacation of portion of Hunt Alley, and ac",,Commercial,C-3-O,743,298378,0,298378,,,,,2009.0291,,9-Apr-09,,320-I/500-I,C-3-S,9-Apr-09,-122.400939,37.785549,6,CIE,-1,PL Approved,5,,66685,101710,,-35025,,,,3722,27,,,C-3-S,320-I/500-I,6,SFMOMA,Ikuko Satoda,,Ikuko Satoda ,"San Francisco, CA 94103",151 Third Street
1533017,473 11th Av,Richmond,BP Filed,28-May-09,2,,"THREE STORY HORIZONTAL ADDITION AT REAR OF BUILDING, AND CHANGE FROM SINGLE FAMILY DWELLING TO TWO F",Residential,RH-2,284,0,,,,,,,,2.00905E+11,,28-May-09,40-X,RH-2,28-May-09,-122.469716,37.779432,11,Resident,0,BP Filed,6,1,0,,,,,,,1533,17,,,RH-2,40-X,1,,,,,,
192014,835-845 Jackson St,Northeast,PL Filed,26-Jun-08,0,"Hospital Replacement and expansion, adding 68,010 gsf total, building new seven-story acute care hospital, moving medical office building uses to existing five-story hospital, and demolishing existing Chinese Hospital and Chinese Hospital Garage (MOB and ",,Mixed Use,CRNC,346,140990,,140990,,,,,2008.0762,,26-Jun-08,,65-N,CRNC,26-Jun-08,-122.408854,37.795639,24,CIE,0,Planning Filed,2,0,68010,68010,,,,,,192,14,1,-1,CRNC,65-N,3,Kensington Investments,Wayne Hu,986-1372,Wayne Hu 986-1372,"San Francisco, CA 94104","233 Sansome Street, #1100"
194009,740 Washington St,Northeast,PL Filed,28-Feb-07,18,"The proposed project would demolish the existing 13,500 sf retail building and construct 18 new affordable studio units totaling about 7,704 gsf and a 4,450 sf ground floor senior center. The building would be approximately 50 feet in height, four-stories",,Mixed Use,CVR,792,4450,0,4450,0,0,0,0,2007.0211,,28-Feb-07,,50-N,CVR,28-Feb-07,-122.405733,37.795294,27,Mixres,0,Planning Filed,2,18,-9050,4450,0,0,0,-13500,0,194,9,,,CVR,50-N,3,Self Help for the Elderly,Alice Barkley,415-982-9171,Alice Barkley 415-982-9171,San Francisco CA 94105,407 Sansome Street
