Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,building_type_id,Units,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,TAZ,Total GSF (Commercial),Office,"Cult, Inst, Educ",Medical,"Prod, Dist, Rep","Ret, Ent",Visitor,Planning ID,DBI Permit,Planning Filed,DBI Filed,HEIGHTLIMIT,ZONING,FirstFiled,Longitude,Latitude,ObjectID,LANDUSE,EntitlementStatus,sort,ACTION_SEQ,Net Added Units,Net Added SF,"Net Cult, Inst, Educ",Net Medical,Net Office,"Net Prod, Dist, Rep","Net Ret, Ent",Net Visitor,TempSelect,SiteArea,BLOCK,LOT,PARKING,PARKINGNET,SUPDIST,Sponsor Firm,Sponsor Name,CONTACTPHONE,FULLNAME,CONTACTCITY,CONTACTADD
3507042,1400 Mission St,Downtown,PL FILED,8-Apr-09,4,165,"THC/Citizens Housing (MOH) proposal for 165-du 100% affordable housing project, 15-story, w/ 18 parking spaces and 3,640-gsf retail at ground level.  Related to Addendum 2003.0262E EIR.",,Commercial,C-3-G,608,3640,0,0,0,0,3640,0,2008.0553,,8-Apr-09,24-Jun-09,150-S/200-S,C-3-G,8-Apr-09,-122.415971,37.775274,1,Mixres,0,Planning Filed,2,165,3640,0,0,0,0,3640,0,12,24546,3507,42,18,-57,6,Citizens Housing Corporation,Jake Wegmann,694-5841,Jake Wegmann 694-5841,"San Francisco, CA 94108","26 O'Farrell St., Suite 600"
221020,34 Pleasant St,Northeast,CONSTRUCTION,2-Oct-12,14,3,Two-floor vertical addition of a residential unit and 2 parking spaces.,"ADDITION OF 2 NEW FLOORS, 2 ONSITE PARKING SPACES, CONVERSION OF RESIDENTIAL DUPLEX INTO RESIDENTIAL",Residential,RM-3,341,0,,,,,,,2009.0906,200905077950,28-Sep-09,7-May-09,65-A,RM-3,7-May-09,-122.413365,37.793047,2,Resident,-1,Construction,13,1,0,,,,,,,111,1206,221,20,3,2,3,Tecta Associates,Ahmad Mohazab,415-362-5857,Ahmad Mohazab 415-362-5857,"San Francisco, CA  94110",2747 - 19th Street
0331001A,231 Ellis St,Downtown,PL Filed,4-May-09,9,7,Interior structural improvements and addition of 4 residential units on top of existing office building.,,Mixed Use,RC-4,678,12460,12460,,,,,,2009.0343,,4-May-09,,80-130-T,RC-4,4-May-09,-122.410011,37.785117,3,Mixres,0,Planning Filed,2,4,0,,,0,,,,,4538,331,001A,,,6,"229 Ellis Street, LLC",Michael Wilk,415-362-8900,Michael Wilk 415-362-8900,"San Francisco, CA 94102",229 Ellis Street
3722027,151 Third St,Downtown,PL Approved,13-Jul-10,8,0,"Expansion of SFMOMA to SE with 40,000-sf gallery wing at Natoma Street, acquisition and replacement of Heald College building on Howard Street with 62,000-sf new construction for back-of-house and admin functions, vacation of portion of Hunt Alley, and ac",,Commercial,C-3-S,743,298378,0,298378,,,,,2009.0291,,9-Apr-09,,320-I/500-I,C-3-S,9-Apr-09,-122.400939,37.785549,6,CIE,-1,PL Approved,5,,66685,101710,,-35025,,,,123,71176,3722,27,,,6,SFMOMA,Ikuko Satoda,,Ikuko Satoda ,"San Francisco, CA 94103",151 Third Street
1533017,473 11th Av,Richmond,BP Filed,28-May-09,14,2,,"THREE STORY HORIZONTAL ADDITION AT REAR OF BUILDING, AND CHANGE FROM SINGLE FAMILY DWELLING TO TWO F",Residential,RH-2,284,0,,,,,,,,200905289263,,28-May-09,40-X,RH-2,28-May-09,-122.469716,37.779432,11,Resident,0,BP Filed,6,1,0,,,,,,,,2979,1533,17,,,1,,,,,,
192014,835-845 Jackson St,Northeast,PL Approved,12-Jul-12,8,0,"Hospital Replacement and expansion, adding 68,010 gsf total, building new seven-story acute care hospital, moving medical office building uses to existing five-story hospital, and demolishing existing Chinese Hospital and Chinese Hospital Garage (MOB and ",,Mixed Use,CRNC,346,140990,,140990,,,,,2008.0762,,26-Jun-08,,65-N,CRNC,26-Jun-08,-122.408854,37.795639,24,CIE,-1,PL Approved,5,0,68010,68010,,,,,,111,30346,192,14,1,-1,3,Kensington Investments,Wayne Hu,986-1372,Wayne Hu 986-1372,"San Francisco, CA 94104","233 Sansome Street, #1100"
194009,740 Washington St,Northeast,PL Filed,28-Feb-07,4,18,"The proposed project would demolish the existing 13,500 sf retail building and construct 18 new affordable studio units totaling about 7,704 gsf and a 4,450 sf ground floor senior center. The building would be approximately 50 feet in height, four-stories",,Mixed Use,CVR,792,4450,0,4450,0,0,0,0,2007.0211,,28-Feb-07,,50-N,CVR,28-Feb-07,-122.405733,37.795294,27,Mixres,0,Planning Filed,2,18,-9050,4450,0,0,0,-13500,0,111,3761,194,9,,,3,Self Help for the Elderly,Alice Barkley,415-982-9171,Alice Barkley 415-982-9171,San Francisco CA 94105,407 Sansome Street
201012,8 Washington Street,Northeast,PL Approved,19-Jun-12,4,170,The proposed project would include the temporary removal of the existing Golden Gateway Tennis and Swim Club facility and the new construction of two mixed use buildings and outdoor health club facilities. The new buildings would include 170 residential u,,Mixed Use,RC-4,814,32100,1500,0,0,0,30600,0,2007.003,,4-Dec-07,,84-E,RC-4,4-Dec-07,-122.395756,37.796691,31,Mixres,-1,PL Approved,5,170,32100,0,0,1500,0,30600,0,23,113510,201,12,520,520,3,Golden Gateway Center,Tina DiRienzo,415-434-2000,Tina DiRienzo 415-434-2000,San Francisco CA 94111,460 Davis Court
25017,721 Beach St,Northeast,BP Filed,29-Nov-10,9,1,"Demolition of an existing 558-sq. ft. one-story warehouse and construction of a new four-unit residential building over 5,589 sq. ft. of groundfloor retail. The new building would be four stories, approximately 40 feet in height, totaling approximately 12","TO ERECT 3 STORIES, 1 UNIT RESIDENTIAL / COMMERCIAL BUILDING.",Commercial,C-2,847,5589,0,0,0,0,5589,0,2006.0441,201011295645,7-Nov-06,29-Nov-10,40-X,C-2,7-Nov-06,-122.420554,37.806808,60,Mixres,0,BP Filed,4,1,5589,0,0,0,0,5589,0,23,3644,25,17,,,3,Patri Merker Architects,Marie Zeller,415-334-6494,Marie Zeller 415-334-6494,"San Francisco, CA 94131",318 Arlington Street
28014,1255- 1275 Columbus Av,Northeast,PL Approved,8-Jun-11,4,20,"Remove office, new construction 20-unit residential condominium with approximately 6,500 sf retail and 20 parking spaces at ground floor. Variance required because no commercial parking is provided.",,Commercial,C-2,832,6500,0,,,,6500,,2008.0723,,29-Jul-09,,40-X,C-2,29-Jul-09,-122.418199,37.80569,67,Mixres,-1,PL Approved,5,20,-9352,,,-15852,,6500,,23,16771,28,14,20,-1,3,Divisadero Hayes LLC,Bruce  Baumann,415-551-7884,Bruce  Baumann 415-551-7884,San Francisco CA 94103,"1221 Harrison Street, #22"
