key,value
"PROJECT_TYPE",proj_type
"APN",apn
"NAMEADDR",address
"Alias",alias
"BESTDATE",best_date
"BESTSTAT",best_stat
"Entitlement",entitled
"PLN_CASENO",caseno
"PLN_DESC",plndesc
"BP_APPLNO",dbi_permit
"BP_DESC",dbidesc
"COST",cost
"PROPUSE",propuse
"UNITS",units
"NET_UNITS",unitsnet
"AFF_UNITS",aff
"NET_AFF_UNITS",affnet
"RET",ret_ent
"NET_RET",net_ret_ent
"MIPS",office
"NET_MIPS",net_office
"PDR",prod_dist_rep
"NET_PDR",net_prod_dist_rep
"MED",medical
"NET_MED",net_medical
"CIE",cult_inst_educ
"NET_CIE",net_cult_inst_educ
"VISIT",visitor
"NET_VISIT",net_visitor
"FirstFiled",firstfiled
"APPLICANT",sponsor_name
"CONTACT",fullname
"CONTACTPH",contactphone
"NEIGHBORHOOD",neighborhood
"PLAN_AREA",planarea
"PLAN_DISTRICT",district
"SUPE_DISTRICT",supdist
"HEIGHT_DISTRICT",heightlimit
"ZONING",zoning
"ZONING_DISTRICT",districtname
"PLANNER",planner
"LOCATION",location
