key,value
"ACTDATE",actdate
"ACTION",action
"ACTION_SEQ",action_seq
"AFF",aff
"AFFNET",affnet
"AFFORDABLE",aff
"AFFORDABLENET",affnet
"AFFORDABLENET",affnetkey,value
"AFFORDABLE_DEC",aff_dec
"AFF_UNITS",aff
"ALIAS",alias
"APN",apn
"APPLICANT",sponsor_name
"Address",address
"Alias",alias
"BESTDATE",best_date
"BESTSTAT GROUP",beststat_group
"BESTSTAT",best_stat
"BLKLOT",apn
"BLOCK",block
"BPAPPLNO",dbi_permit
"BP_APPLNO",dbi_permit
"BP_DESC",dbidesc
"Best Date",best_date
"Best Stat",best_stat
"Block Lot",apn
"CASENO",caseno
"CIE",cie
"CIE",cult_inst_educ
"CIENET",cienet
"CIENET",net_cult_inst_educ
"CONTACT",contact
"CONTACT",fullname
"CONTACTADD",contactadd
"CONTACTADD",contactaddkey,value
"CONTACTCITY",contactcity
"CONTACTNAME",contact
"CONTACTPH",contactph
"CONTACTPH",contactphone
"CONTACTPHONE",contactph
"CONTACTPHONE",contactphone
"COST",cost
"CentralSoMa",centralsoma
"Cult, Inst, Educ",cult_inst_educ
"DA",da
"DBI Filed",dbi_filed
"DBI Permit ID",dbi_permit
"DBI Permit",dbi_permit
"DBI Project Description",dbi_project_description
"DBIDESC",dbidesc
"DBI_ACTDATE",dbi_actdate
"DBI_ACTION",dbi_action
"DECDATE",decdate
"DECISION",decision
"DESCRIPT",descript
"DISTRICTNAME",districtname
"ENTITLEMENT",entitled
"EntitledStatus",entitled
"Entitlement",entitled
"EntitlementStatus",entitled
"EntitlementStatus",entitlementstatus
"Expr1022",expr1022
"Expr1023",expr1023
"Expr1028",expr1028
"Expr1028",expr2018
"FILEDATE",firstfiled
"FULLNAME",fullname
"FirstFiled",firstfiled
"GEOGRAPHY",location
"Geography",location
"HEIGHT",height
"HEIGHTLIMIT",heightlimit
"HEIGHTLIMIT",heightlimitkey,value
"HEIGHT_DISTRICT",heightlimit
"HEIGHT_LIMIT",height_lim
"HeightNum",heightnum
"LANDUSE",landuse
"LOCATION",locationkey,value
"LOT",lot
"Latitude",y
"Location 1",location
"Location",location
"Location",locationkey,value
"Longitude",x
"MED",med
"MED",medical
"MEDNET",mednet
"MEDNET",net_medical
"MIPS",mips
"MIPS",office
"MIPSNET",mipsnet
"MIPSNET",net_office
"Medical",medical
"NAMEADDR",address
"NEIGHBORHOOD",neighborhood
"NET_AFF_UNITS",affnet
"NET_CIE",net_cult_inst_educ
